article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,ch5_refs,odef_refs,owner_refs,status
XXIV,Timely Retrospective Review and Restorative Alignment,justice/emergency/transition,core_06_rights_part_d.md,286,3.1; 6; 8; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability; Timely Resolution,Auditability; Contestability; Restorative Justice; Timeliness; Timely Resolution,,Article XXIII; Article XXIV; Article XXIV-A; Article XXIV-B; Article XXIV-C; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_apex_timeliness_leg.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
XXIV-A,Retrospective Review and Disclosure,justice/emergency/transition,core_06_rights_part_d.md,318,3.2; 6.2; 16; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity,Accountability; Auditability; Truth (Constitutional Constraint),,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_oversight.md,complete
XXIV-B,Rights-Collision Procedure and Restorative Alignment,justice/emergency/transition,core_06_rights_part_d.md,353,6.1.5; 7; 16; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Market Structure / Contestability; Timely Resolution,Contestability; Proportionality; Restorative Justice,,Article X-A; Chapter Eleven; Chapter Five; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_10_standing_integration.md; core_11_a_misconduct_designation.md,complete
XXIV-C,Timely Resolution and Anti-Delay Floor,justice/emergency/transition,core_06_rights_part_d.md,389,6.1.5; 6.3; 13.2; linked,3.1; 6.1; 6.1.5; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability; timeliness,continuity,material stake; materiality,Safety / Harm / Risk; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Timely Resolution,Adjudication and Dispute Resolution; Avoidable Burden; Capture of Resolution Pathways; Constitutional Efficiency; Materiality Determination; Timely Resolution,,Article XXIII-A; Article XXIII-B; Article XXIII-C; Article XXIII-D; Article XXIV-C; Chapter One; core_00_preamble.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_09-12_application_vignettes.md; core_09_standing_assessment.md; core_12_forum.md,complete
XXV,Constitutional Evolution and Non-Entrenchment,justice/emergency/transition,core_06_rights_part_d.md,434,11.3; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity,Governance,,Article XXV; Article XXV-A; Article XXV-B; Chapter One; core_00_preamble.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md,complete
XXV-A,Non-Entrenchment and Revisability,justice/emergency/transition,core_06_rights_part_d.md,454,2; 7; 11.3; linked,2; 3.1; 3.2; 6.2; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,,,Wellbeing; Productive Capacity; Incentive Alignment / Proxy Integrity,Accountability; Stakeholder; Transparency,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_oversight.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
XXV-B,Periodic Revalidation and Transparent Change,justice/emergency/transition,core_06_rights_part_d.md,483,3.2; 7; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,oversight; accountability,,,Substantive Fairness; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Transparency,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XXVI,"Transition Governance, Continuity, and Re-Baselining",justice/emergency/transition,core_06_rights_part_d.md,514,linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Governance,,Article XXVI; core_00_preamble.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md,complete
XXVI-A,Phased Adoption and Rights-Floor Continuity,justice/emergency/transition,core_06_rights_part_d.md,537,3.1; 6.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,oversight; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Substantive Fairness; Accessibility; Truth / Epistemic Integrity; Timely Resolution,Accountability; Evidence Preservation; Necessity; Proportionality; System Alignment Certification; Wellbeing,,Article V; Article V-E; Article VII-D; Article XXVI; Article XXVI-B; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; core_10_standing_integration.md,complete
XXVI-B,Transitional Authority Limits and Reauthorization,justice/emergency/transition,core_06_rights_part_d.md,585,3.1; 6.1; 7; linked,3.1; 6.1; 6.1.5; 6.3; 7; 8; 10; 10.1,oversight; accountability,,,Safety / Harm / Risk; Avoidable Burden; Timely Resolution,Accountability; Necessity; Proportionality,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md,complete
XXVI-C,"Failure Off-Ramps, Re-Baselining, and Traceability",justice/emergency/transition,core_06_rights_part_d.md,619,3.1; 6.1; 16; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,materiality,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Accountability; Auditability; Reversibility; System Alignment Certification,,Chapter Eight; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XXVI-D,Non-Compliant Property and Systems; Voluntary Turnover Incentives,justice/emergency/transition,core_06_rights_part_d.md,655,3.1; 6.1.5; 6.3; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Substantive Fairness; Trustworthiness,Necessity; Proportionality; Protected Reporting (Whistleblowing); Substantive Fairness,CJS-3.6,Article III-A; Article V-E; Article X-B; Article XII; Article XII-B; Article XII-E; Article XXIII-B; Article XXIII-C; Article XXVI-A; Article XXVI-B; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_participation.md; core_06_rights_part_c.md](core_06_rights_part_c.md; core_08_a_system_alignment_certification_evaluation.md; core_09_standing_assessment.md; core_13_governance.md](core_13_governance.md,complete
